return_id,election_id,name_on_return,party,member_id,unopposed,votes,winner
26878,13385,Mr Francis William Barlow,,732,0,1197,1
26879,13385,Mr Nathaniel Jeffreys,,731,0,1190,1
26880,13385,Mr William Wilberforce Bird,,,0,1182,0
26881,13385,Mr Peter Moore,,1195,0,1152,0
26897,13392,Mr Thomas Estcourt,,733,0,285,1
26898,13392,Mr Henry George Herbert,,734,0,232,1
26899,13392,Mr George Augustus Pollen,,,0,137,0
29300,14706,Mr Richard Price,,1028,1,,1
29306,14711,Mr Walter Wilkins,,1027,0,578,1
29307,14711,Mr John Macnamara,,,0,57,0
29312,14716,Mr Francis Annesley,,1029,0,394,1
29313,14716,Mr Charles Shaw Lefevre,,1030,0,347,1
29314,14716,Mr John Simeon,,1360,0,231,0
29325,14721,Mr John Somers Cocks,,1031,1,,1
29326,14721, Joseph Sydney Yorke,,1031,1,,1
30344,15258,Mr William Hoare Hume,,,1,,1
30345,15258,Mr George Ponsonby,,1152,1,,1
26366,13101,Mr William Henry Cavendish-Scott- Bentinck,,666,1,,1
26367,13101,Mr Richard Temple-Nugent-Brydges-Chandos- Grenville,,667,1,,1
26911,13398,Mr Alexander Mackenzie,,735,1,,1
28089,14061,Mr Horatio Walpole,,873,1,,1
28090,14061,Sir Martin Browne Ffolkes,,874,1,,1
27343,13667,Hon John Beresford,,11036,1,,1
30368,15272,Mr John Spalding,,1155,0,3,1
30369,15272,Mr Robert Vans Agnew,,,0,1,0
26917,13404,Sir Henry Fletcher,,736,1,,1
26918,13404,Sir John Lowther,,737,1,,1
28116,14073,Mr Samuel Campbell Rowley,,877,1,,1
28101,14068,Mr Samuel Thornton,,875,0,1266,1
28102,14068,Mr John Staniforth,,876,0,1183,1
28103,14068,Mr William Joseph Denison,,1344,0,767,0
28104,14068,Mr William Bell,,,0,3,0
29337,14728,Mr William McDowall,,1032,1,,1
29347,14734,Mr George Heneage Lawrence Dundas,,1034,1,,1
29348,14734,Mr Arthur Shakespeare,,1033,1,,1
26927,13409,Mr Edmund Bastard,,738,1,,1
26928,13409,Mr Arthur Howe Holdsworth,,739,1,,1
29361,14743,Sir James Graham,,1036,1,,1
29362,14743,Mr John Heathcote,,1035,1,,1
28123,14079,Mr Patrick Heron,,878,0,42,1
28124,14079,Mr Montgomery Granville John Stewart,,1211,0,37,0
26939,13416,Mr Frederick West,,740,1,,1
25776,12755,Mr James Farquhar,,592,1,,1
26945,13421,Sir Watkin Williams Wynn,,2937,1,,1
25793,12765,Sir Thomas Theophilus Metcalfe,,594,0,111,1
25794,12765,Mr George Knapp,,1519,0,102,0
26962,13433,Lord George Augustus Henry Cavendish,,744,1,,1
26963,13433,Mr Edward Miller Mundy,,743,1,,1
28178,14108,Mr Richard Henry Alexander Bennet,,888,1,,1
28179,14108,Mr James Brogden,,887,1,,1
26950,13426,Mr George Walpole,,742,1,,1
26951,13426,Mr Edward Coke,,741,1,,1
25785,12760,Mr James Ferguson,,593,0,61,1
25786,12760,Mr Alexander Leith Hay,,,0,41,0
28164,14103,Mr John Dent,,885,0,1235,1
28165,14103,Mr Alexander Douglas,,886,0,1162,1
28166,14103,Mr John Fenton-Cawthorne,,1345,0,775,0
26344,13086,Mr Thomas Grenville,,664,1,,1
26345,13086,Mr William Allen Proby,,665,1,,1
29392,14758,Mr Arthur French,,12913,1,,1
29393,14758,Mr Edward King,,1039,1,,1
25804,12772,Mr Charles Duncombe,,595,1,,1
25805,12772,Mr John Sullivan,,596,1,,1
30397,15294,Mr Ambrose Goddard,,1159,1,,1
30398,15294,Mr Henry Penruddocke Wyndham,,1160,1,,1
26972,13438,Mr Henry Addington,,745,1,,1
26973,13438,Mr Joshua Smith,,746,1,,1
27007,13455,Mr Cropley Ashley,,751,1,,1
27008,13455,Mr Francis Fane,,750,1,,1
30410,15300,Mr Robert Ladbroke,,1161,1,,1
30411,15300,Mr William Moffatt,,1162,1,,1
28702,14374,Mr Richard Dawson,,1801,1,,1
28703,14374,Mr Charles Powell Leslie,,945,1,,1
26981,13443,Mr John Pollexfen Bastard,,747,1,,1
26982,13443,Sir Lawrence Palk,,748,1,,1
29402,14763,Sir Charles Lockhart-Ross,,1040,1,,1
26995,13449,Mr Arthur Saunders Gore,,,1,,1
26996,13449,Sir James Stewart,,749,1,,1
27026,13468,Mr Francis John Brown,,752,1,,1
27027,13468,Mr William Morton Pitt,,753,1,,1
25816,12779,Sir John Aubrey,,597,1,,1
25817,12779,Mr John McMahon,,598,1,,1
30423,15308,Sir Richard Grace Gamon,,1163,1,,1
30424,15308,Sir Henry Paulet St.John-Mildmay,,1164,1,,1
29419,14776,Mr Gerard Noel Noel,,3150,1,,1
29420,14776,Mr George Evans,,1042,1,,1
28203,14120,Sir Edmund Cradock-Hartopp,,892,1,,1
28204,14120,Mr George Anthony Legh-Keck,,891,1,,1
25831,12787,Mr Thomas Drake Tyrwhitt-Drake,,599,1,,1
25832,12787,Mr Charles Drake Garrard,,600,1,,1
25843,12794,Mr Thomas Assheton Smith,,601,1,,1
25844,12794,Hon. Newton Fellowes,,602,1,,1
29432,14784,Hon Rober Banks Jenkinson,,6767,1,,1
29433,14784,Mr Thomas Davis Lamb,,1043,1,,1
28214,14125,Mr Nathaniel Clements,,6486,0,779,1
28215,14125,Mr Peter Latouche,,893,0,668,1
28216,14125,Mr Theophilius Jones,,,0,389,0
27038,13473,Mr John Trevanion,,754,0,666,1
27039,13473,Mr John Spencer Smith,,755,0,534,1
27040,13473,Mr William Huskisson,,,0,466,0
28229,14131,Mr John Lubbock,,895,0,498,1
28230,14131,Mr Charles Kinnaird,,894,0,338,1
28231,14131,Mr William Taylor,,,0,281,0
28723,14390,Mr James Rooke,,947,1,,1
28724,14390,Sir Charles Gould Morgan,,948,1,,1
25853,12799,Sir Arthur Paget,,603,1,,1
28244,14138,Lord Francis Godolphin Osborne,,896,0,208,1
28245,14138,Mr Henry Shelley,,897,0,169,1
28246,14138,Mr Thomas Kemp,,1347,0,164,0
28262,14146,Sir John Wrottesley,,899,1,,1
28263,14146,Mr Thomas Anson,,898,1,,1
28273,14152,Mr Charles Vereker,,900,1,,1
25868,12813,Hon. John Bruce Richard O'Neill,,605,1,,1
25869,12813,Mr Edmond Alexander MacNaghten,,1811,1,,1
27309,13637,Mr Robert Saunders-Dundas,,782,1,,1
25859,12805,Mr Alexander Campbell,,604,1,,1
25978,12885,Mr William Fullarton,,617,1,,1
27052,13478,Mr Robert Stewart,,1284,1,,1
27053,13478,Mr Francis Savage,,,1,,1
